Average lookup times in: nanoseconds

map BST(unbalanced) BST(balanced)
1026.64 1175.56 703.178 
1013.26 1169.17 701.971 
1028.85 1186.8 698.563 
1014.16 1169.43 690.352 
1020.1 1160.78 699.586 
1035.21 1170.54 691.091 
1038.15 1180.58 712.244 
1015.11 1167.08 709.837 
1023.83 1171.05 700.39 
1020.98 1222.48 687.516 
1012.6 1171.74 703.718 
1028.46 1176.3 692.9 
1021.48 1155.81 691.326 
1034.31 1162.07 685.451 
1025.07 1187.35 703.242 
1039.28 1172.25 704.617 
1020.21 1178.89 704.219 
1019.77 1166.47 692.902 
1028.04 1180.12 703.148 
1031.89 1169.62 695.154 
1044.96 1195.47 690.018 
1027.35 1201.3 709.67 
1031.87 1175.42 708.301 
1043.33 1176.49 716.322 
1025.74 1174.03 698.702 
1032.46 1184.34 706.041 
1031.87 1232.4 696.695 
1029.29 1175.57 696.961 
1039.27 1175.1 705.88 
1022.38 1177.1 693.801 
1029.83 1176.62 700.721 
1030.53 1192.07 699.572 
1022.34 1179.91 706.229 
1027.07 1214.73 699.106 
1032.97 1176.63 697.866 
1033.04 1183.49 700.073 
1030.64 1192.61 717.484 
1020.7 1195.53 708.761 
1034.09 1184.24 698.354 
1022.93 1179.46 695.682 
1057.97 1178.66 693.265 
1045.69 1187.13 707.745 
1038.73 1207.03 798.543 
1033.5 1194.52 728.895 
1044.54 1219.74 704.804 
1027.53 1179.48 699.459 
1029.23 1174.3 708.645 
1037.83 1217.48 738.652 
1033.07 1207.54 707.564 
1038.98 1193.37 706.051 
1053.56 1195.57 704.493 
1034.81 1185.64 698.128 
1023.51 1218.54 707.455 
1036.73 1196.68 692.277 
1028.51 1197.05 701.473 
1033.13 1189.55 705.206 
1026.96 1181.69 708.557 
1036.48 1183.91 704.5 
1041.16 1228.66 711.329 
1041.34 1191.62 697.709 
1032.55 1271 699.131 
1042.57 1212.5 716.76 
1047.42 1204.07 718.338 
1044.98 1230.18 704.391 
1034.62 1188.21 693.986 
1033.91 1212.92 697.511 
1048.92 1205.64 698.144 
1038.63 1208.66 698.084 
1028.88 1218.22 708.39 
1052.34 1208.52 701.134 
1042.02 1189.6 708.571 
1027.69 1196.59 703.636 
1033.92 1202.6 693.152 
1032.47 1195.12 726.873 
1034.19 1197.66 713.601 
1041.53 1207.94 708.877 
1033.44 1202.25 715.452 
1050.45 1195.65 707.625 
1050.88 1194.62 704.55 
1061.32 1193.9 707.375 
1054.24 1200.59 726.509 
1045.32 1220.73 723.963 
1079.64 1207.74 702.59 
1056.59 1195.39 721.614 
1091.47 1205.18 708.739 
1036.89 1200.53 717.364 
1039.67 1218.68 713.788 
1039.45 1206.69 718.614 
1074.01 1211.55 713.186 
1033.9 1194.46 722.667 
1045.66 1191.92 711.826 
1069.38 1202.28 710.48 
1053.24 1219.49 720.268 
1045.03 1205.65 717.973 
1040.4 1196.97 705.205 
1044.54 1215.94 717.549 
1061.04 1194.03 708.481 
